field,classification,recommendation,sample_nonnull_pct,sample_unique_values,sample_bytes_100_trades,prod_read_count,prod_write_count,read_files,write_files,string_ref_files
longSubBucket,RETAIN,,100.0,13,4861,17,9,src/app/LongLabApp.jsx | src/audits/bestDnaLongAudit.js | src/audits/bestDnaLongAuditV2.js | src/combos/longComboRegistry.js | src/filters/FiltersTab.jsx | src/research/buildLongEntryResearchSnapshot.js | src/research/normalizeLongEntryFacts.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.features.js,src/app/LongLabApp.jsx | src/longBuckets/longBucketClassifier.js | src/longBuckets/topGainerLongClassifier.js | src/longBuckets/topLoserLongClassifier.js | src/research/buildLongEntryResearchSnapshot.js | src/research/normalizeLongEntryFacts.js,src/export/longTradeExportSchema.js | src/filters/FiltersTab.jsx | src/filters/longFilterSnapshot.js | src/filters/longHighlightEngine.js
positionLifecycleLastRestFallbackAt,RETAIN,,50.0,4,4850,1,1,src/app/LongLabApp.jsx,src/app/LongLabApp.jsx,src/export/longTradeExportSchema.js
longGateResearchBandV2,RETAIN,,100.0,5,4700,1,2,src/research/buildLongEntryResearchSnapshot.js,src/longGate/longGateAudit.js | src/research/buildLongEntryResearchSnapshot.js,src/export/longTradeExportSchema.js | src/filters/longFilterRegistry.js | src/migrations/migrateLongTradeRecord.js
cvdLongInterpretation,RETAIN,,100.0,4,4694,1,1,src/app/LongLabApp.jsx,src/research/longEvidenceSemantics.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
bucketAuditWarnings,RETAIN,,100.0,19,4680,1,3,src/research/buildLongEntryResearchSnapshot.js,src/longAudits/topGainerContinuationAudit.js | src/longAudits/topLoserReversalAudit.js | src/research/buildLongEntryResearchSnapshot.js,src/export/longTradeExportSchema.js
longFilterSnapshotComputedAt,RETAIN,,100.0,100,4600,1,2,src/filters/longFilterCoverage.js,src/filters/longFilterSnapshot.js | src/research/buildLongEntryResearchSnapshot.js,src/export/longTradeExportSchema.js
longPostFee10EntryTier,RETAIN,,100.0,6,4546,9,4,src/app/LongLabApp.jsx | src/combos/longComboRegistry.js | src/filters/FiltersTab.jsx | src/migrations/migrateLongTradeRecord.js | src/research/buildLongEntryResearchSnapshot.js | src/research/buildLongShadowDecision.js,src/migrations/migrateLongTradeRecord.js | src/scoring/longPostFee10/longPostFee10.scorer.js,src/export/longTradeExport.js | src/export/longTradeExportSchema.js | src/filters/FiltersTab.jsx | src/filters/longFilterRegistry.js | src/filters/longHighlightEngine.js | src/migrations/migrateLongTradeRecord.js
profitLockProtectionVenue,RETAIN,,100.0,2,4352,2,4,src/app/LongLabApp.jsx | src/lifecycle/profitLockProtection.js,src/lifecycle/profitLockProtection.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
longGateFailReasons,RETAIN,,100.0,7,4348,2,2,src/audits/bestDnaLongAudit.js | src/research/buildLongEntryResearchSnapshot.js,src/longGate/longGateAudit.js | src/research/buildLongEntryResearchSnapshot.js,src/export/longTradeExportSchema.js | src/filters/longFilterRegistry.js
bucketAuditType,RETAIN,,100.0,2,4250,1,3,src/research/buildLongEntryResearchSnapshot.js,src/longAudits/topGainerContinuationAudit.js | src/longAudits/topLoserReversalAudit.js | src/research/buildLongEntryResearchSnapshot.js,src/export/longTradeExportSchema.js
longMicroUpConfirmationReasons,RETAIN,,100.0,6,4231,3,3,src/audits/bestDnaLongAuditV2.js | src/longGate/longGateAudit.js | src/research/buildLongEntryResearchSnapshot.js,src/longGate/longGateAudit.js | src/research/buildLongEntryResearchSnapshot.js | src/research/longWinningSignals.js,src/export/longTradeExportSchema.js | src/filters/longFilterRegistry.js | src/migrations/migrateLongTradeRecord.js
entryPolicyEvaluationStatus,RETAIN,,100.0,1,4200,2,4,src/entryPolicy/entryPolicy.flatten.js,src/entryPolicy/entryPolicy.flatten.js | src/entryPolicy/evaluateEntryPolicyLogOnly.js | src/migrations/migrateLongTradeRecord.js,src/entryPolicy/entryPolicy.flatten.js | src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
longFilterSnapshotTiming,RETAIN,,100.0,1,4200,1,2,src/filters/longFilterAnalytics.js,src/filters/longFilterSnapshot.js | src/research/buildLongEntryResearchSnapshot.js,src/export/longTradeExportSchema.js
longPostFee10PenaltyGenes,RETAIN,,100.0,8,4166,4,3,src/app/LongLabApp.jsx | src/export/longBestDnaExport.js | src/filters/FiltersTab.jsx,src/export/longBestDnaExport.js | src/scoring/longPostFee10/longPostFee10.scorer.js,src/export/longBestDnaExport.js | src/export/longTradeExportSchema.js
profitLockProtectionState,RETAIN,,100.0,3,4163,3,7,src/app/LongLabApp.jsx | src/lifecycle/profitLockProtection.js,src/app/LongLabApp.jsx | src/lifecycle/profitLockProtection.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
profitLockProtectedFloorMarginPct,RETAIN,,47.0,5,4137,5,1,src/app/LongLabApp.jsx | src/lifecycle/profitLockProtection.js,src/lifecycle/profitLockProtection.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
closeReasonCategory,RETAIN,,100.0,3,4129,1,3,src/lifecycle/longTradeLifecycle.js,src/app/LongLabApp.jsx | src/lifecycle/closeReasons.js | src/lifecycle/longTradeLifecycle.js,src/export/longTradeExportSchema.js
longCombosPositiveMatched,RETAIN,,100.0,9,4117,3,1,src/filters/components/ExplainMatchDrawer.jsx | src/research/longEvidenceSemantics.js,src/combos/longComboRegistry.js,src/export/longBatchExport.js | src/export/longTradeExportSchema.js | src/filters/longFilterAnalytics.js | src/filters/longFilterRegistry.js | src/migrations/migrateLongTradeRecord.js
rsiLongMomentumExpansionSource,RETAIN,,12.0,2,4116,5,5,src/longGate/longGateAudit.js | src/research/buildLongEntryResearchSnapshot.js | src/research/normalizeLongEntryFacts.js,src/longGate/longGateAudit.js | src/research/buildLongEntryResearchSnapshot.js | src/research/longWinningSignals.js | src/research/normalizeLongEntryFacts.js,src/export/longTradeExportSchema.js
autoRunId,RETAIN,,100.0,1,4100,19,10,src/app/LongLabApp.jsx | src/export/longBatchExport.js | src/export/longTradeExportSchema.js | src/scoring/postFee10/postFee10.analytics.js | src/scoring/postFee10/postFee10.rankings.js | src/scoring/postFee10/postFee10.scorer.js,src/app/LongLabApp.jsx | src/export/longBatchExport.js,src/export/longTradeExportSchema.js
bestDnaLongVersion,RETAIN,,100.0,1,4100,1,2,src/export/longBestDnaExport.js,src/audits/bestDnaLongAudit.js | src/export/longBestDnaExport.js,src/export/longBestDnaExport.js | src/export/longTradeExportSchema.js
longShadowDecision,RETAIN,,100.0,1,4100,11,3,src/filters/FiltersTab.jsx | src/filters/components/ExplainMatchDrawer.jsx | src/research/longEvidenceSemantics.js,src/research/buildLongEntryResearchSnapshot.js,src/export/longTradeExportSchema.js | src/filters/FiltersTab.jsx | src/filters/longFilterRegistry.js | src/filters/longFilterSnapshot.js | src/filters/longHighlightEngine.js | src/safety/assertEntrySnapshotConsistency.js
profitLockProtectedFloorPrice,RETAIN,,47.0,48,4065,5,1,src/app/LongLabApp.jsx | src/lifecycle/profitLockProtection.js,src/lifecycle/profitLockProtection.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
closeTriggerSource,RETAIN,,100.0,4,4041,4,10,src/app/LongLabApp.jsx | src/lifecycle/longTradeLifecycle.js,src/app/LongLabApp.jsx | src/lifecycle/longTradeLifecycle.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
isLongPostFee10CandidateAtEntry,RETAIN,,100.0,2,4027,2,3,src/migrations/migrateLongTradeRecord.js | src/research/buildLongShadowDecision.js,src/migrations/migrateLongTradeRecord.js | src/scoring/longPostFee10/longPostFee10.scorer.js,src/export/longTradeExportSchema.js
bestDnaLongTier,RETAIN,,100.0,6,4003,5,2,src/app/LongLabApp.jsx | src/export/longBestDnaExport.js | src/filters/FiltersTab.jsx | src/filters/components/ExplainMatchDrawer.jsx,src/audits/bestDnaLongAudit.js | src/export/longBestDnaExport.js,src/export/longBestDnaExport.js | src/export/longTradeExportSchema.js | src/filters/FiltersTab.jsx | src/filters/longFilterRegistry.js | src/filters/longHighlightEngine.js
closeTime,RETAIN,,100.0,89,4000,4,1,src/app/LongLabApp.jsx | src/fees/feeLedger.js,src/app/LongLabApp.jsx,src/export/longTradeExportSchema.js | src/fees/feeExport.js
entryTime,RETAIN,,100.0,4,4000,80,5,src/aesDiscovery/aesDiscoveryAnalytics.js | src/aesDiscovery/aesDiscoveryLabels.js | src/aesDiscovery/aesDiscoveryShadowEngine.js | src/app/LongLabApp.jsx | src/audits/bestDnaAudit.js | src/export/longBatchExport.js | src/export/longTradeExportSchema.js | src/export/runOutcomeRanking.js | src/fees/feeLedger.js | src/filters/components/ExplainMatchDrawer.jsx | src/filters/longCompareMode.js | src/filters/longFilterEngine.js | src/filters/longHighlightEngine.js | src/lifecycle/openPositionLifecycle.js | src/liveExitAudit/liveExitAudit.signals.js | src/outcomes/longPostFee10Support.js | src/research/entrySnapshotProvenance.js | src/research/normalizeLongEntryFacts.js | src/scoring/postFee10/postFee10.live-monitor.js | src/scoring/postFee10/postFee10.outcomes.js | src/scoring/postFee10/postFee10.rankings.js | src/scoring/postFee10/postFee10.scorer.js | src/sessionHealth/sessionHealth.metrics.js | src/shadowLong/shadowLongAudit.js,src/aesDiscovery/aesDiscoveryShadowEngine.js | src/app/LongLabApp.jsx | src/research/normalizeLongEntryFacts.js,src/aesDiscovery/aesDiscoveryAnalytics.js | src/export/longTradeExportSchema.js | src/fees/feeExport.js | src/research/buildLongEntryResearchSnapshot.js | src/research/entrySnapshotProvenance.js
longAesConfidenceIsInformative,RETAIN,,100.0,1,4000,1,3,src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.scorer.js,src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.scorer.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
longMicroUpConfirmationSourceCount,RETAIN,,100.0,3,4000,2,4,src/longGate/longGateAudit.js | src/research/buildLongEntryResearchSnapshot.js,src/longGate/longGateAudit.js | src/migrations/migrateLongTradeRecord.js | src/research/buildLongEntryResearchSnapshot.js | src/research/longWinningSignals.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
strategyResearchExclusionReason,RETAIN,,0.0,1,4000,1,4,src/export/longBatchExport.js,src/app/LongLabApp.jsx | src/migrations/migrateLongTradeRecord.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
absoluteEntryWouldPassAdaptive,RETAIN,,100.0,2,3994,5,4,src/entryPolicy/entryPolicy.flatten.js | src/entryPolicy/entryPolicy.js,src/entryPolicy/adaptiveAes.js | src/entryPolicy/entryPolicy.flatten.js,src/entryPolicy/entryPolicy.flatten.js | src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
profitLockFloorBreachedInLoss,RETAIN,,100.0,1,3900,1,2,src/app/LongLabApp.jsx,src/lifecycle/profitLockProtection.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
longParentBucket,RETAIN,,100.0,2,3850,49,14,src/app/LongLabApp.jsx | src/audits/bestDnaLongAudit.js | src/combos/longComboRegistry.js | src/exitProfiles/dynamicExitProfiles.js | src/export/longBatchExport.js | src/filters/FiltersTab.jsx | src/filters/evaluateLongWinningSetupMatches.js | src/filters/filterAnalytics.js | src/filters/longCompareMode.js | src/filters/longFilterAnalytics.js | src/filters/longFilterCoverage.js | src/filters/longFilterEngine.js | src/longAudits/longEntryDangerAuditLogOnly.js | src/longBuckets/longBucketClassifier.js | src/longGate/longGateAudit.js | src/research/buildLongEntryResearchSnapshot.js | src/research/normalizeLongEntryFacts.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.features.js,src/aesDiscovery/aesDiscoveryUniverse.js | src/app/LongLabApp.jsx | src/research/buildLongEntryResearchSnapshot.js | src/research/longPreviewScorers.js | src/research/normalizeLongEntryFacts.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.features.js,src/export/longTradeExportSchema.js | src/filters/longFilterRegistry.js | src/filters/longFilterSnapshot.js | src/research/buildLongEntryResearchSnapshot.js | src/research/entrySnapshotProvenance.js | src/safety/assertEntrySnapshotConsistency.js
longCandidateRunnerWouldAllow,RETAIN,,100.0,2,3828,1,2,src/research/buildLongShadowDecision.js,src/scoring/longCandidateRunner/longCandidateRunner.scorer.js,src/export/longTradeExportSchema.js
absoluteEntryAdaptiveStatus,RETAIN,,100.0,2,3800,2,5,src/entryPolicy/entryPolicy.flatten.js,src/entryPolicy/adaptiveAes.js | src/entryPolicy/entryPolicy.flatten.js | src/migrations/migrateLongTradeRecord.js,src/entryPolicy/entryPolicy.flatten.js | src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
finalizationDataQuality,RETAIN,,100.0,1,3800,3,3,src/app/LongLabApp.jsx | src/export/longBatchExport.js,src/lifecycle/tradeFinalization.js | src/migrations/migrateLongTradeRecord.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
longCandidateRunnerScoreAtEntry,RETAIN,,100.0,37,3800,9,3,src/app/LongLabApp.jsx | src/filters/FiltersTab.jsx | src/filters/components/ExplainMatchDrawer.jsx | src/migrations/migrateLongTradeRecord.js | src/research/buildLongEntryResearchSnapshot.js | src/research/longEvidenceSemantics.js,src/migrations/migrateLongTradeRecord.js | src/scoring/longCandidateRunner/longCandidateRunner.scorer.js,src/export/longTradeExport.js | src/export/longTradeExportSchema.js | src/filters/FiltersTab.jsx | src/filters/longFilterRegistry.js | src/migrations/migrateLongTradeRecord.js | src/research/entrySnapshotProvenance.js | src/safety/assertEntrySnapshotConsistency.js
longFilterMissingRequiredFields,RETAIN,,100.0,1,3800,2,2,src/research/buildLongEntryResearchSnapshot.js,src/research/buildLongEntryResearchSnapshot.js,src/export/longTradeExportSchema.js
profitLockProtectedStage,RETAIN,,47.0,6,3770,1,1,src/lifecycle/profitLockProtection.js,src/lifecycle/profitLockProtection.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
longGateEligibility,RETAIN,,100.0,2,3764,3,2,src/research/buildLongEntryResearchSnapshot.js | src/research/buildLongShadowDecision.js,src/longGate/longGateAudit.js | src/research/buildLongEntryResearchSnapshot.js,src/export/longTradeExportSchema.js
profitLockProtectionVerified,RETAIN,,100.0,2,3753,2,4,src/app/LongLabApp.jsx | src/lifecycle/profitLockProtection.js,src/lifecycle/profitLockProtection.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
feeAdjustedLeveragedPnlPct,RETAIN,,100.0,100,3742,2,7,src/audits/bestDnaAudit.js | src/export/longBestDnaExport.js,src/app/LongLabApp.jsx | src/audits/bestDnaAudit.js | src/domain/longTradeMath.js | src/export/longBestDnaExport.js,src/audits/bestDnaAudit.js | src/export/longBestDnaExport.js | src/export/longTradeExportSchema.js
longAesTier,RETAIN,,100.0,7,3712,4,4,src/filters/components/ExplainMatchDrawer.jsx | src/migrations/migrateLongTradeRecord.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.scorer.js,src/migrations/migrateLongTradeRecord.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.scorer.js,src/export/longTradeExport.js | src/export/longTradeExportSchema.js | src/filters/longFilterRegistry.js | src/migrations/migrateLongTradeRecord.js | src/safety/assertEntrySnapshotConsistency.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.scorer.js
absoluteEntryMarketAdjustment,RETAIN,,100.0,2,3700,2,4,src/entryPolicy/entryPolicy.flatten.js,src/entryPolicy/adaptiveAes.js | src/entryPolicy/entryPolicy.flatten.js,src/entryPolicy/entryPolicy.flatten.js | src/export/longTradeExportSchema.js
entryPolicyExecutionApplied,RETAIN,,100.0,1,3700,1,9,src/export/longTradeExportSchema.js,src/app/longLab.constants.js | src/config/entryPolicyLogOnlyConfig.js | src/entryPolicy/entryPolicy.flatten.js | src/entryPolicy/entryPolicy.js | src/entryPolicy/entryPolicyLogOnly.flatten.js | src/entryPolicy/evaluateEntryPolicyLogOnly.js | src/safety/assertLongResearchOnly.js,src/entryPolicy/entryPolicy.flatten.js | src/entryPolicy/entryPolicyLogOnly.flatten.js | src/export/longTradeExportSchema.js
finalPriceTimestamp,RETAIN,,100.0,95,3700,4,13,src/app/LongLabApp.jsx | src/lifecycle/tradeFinalization.js,src/app/LongLabApp.jsx | src/lifecycle/tradeFinalization.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
longFilterDataQuality,RETAIN,,100.0,1,3600,10,6,src/export/longBatchExport.js | src/export/longTradeExport.js | src/filters/components/ExplainMatchDrawer.jsx | src/migrations/migrateLongTradeRecord.js | src/research/buildLongEntryResearchSnapshot.js | src/research/buildLongShadowDecision.js | src/research/longEvidenceSemantics.js,src/export/longTradeExport.js | src/filters/longFilterSnapshot.js | src/migrations/migrateLongTradeRecord.js | src/research/buildLongEntryResearchSnapshot.js,src/export/longTradeExportSchema.js | src/safety/assertEntrySnapshotConsistency.js
profitLockFloorCrossedAt,RETAIN,,28.0,28,3552,1,2,src/app/LongLabApp.jsx,src/fees/profitLockTelemetry.js | src/lifecycle/profitLockProtection.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
longAtrContext,RETAIN,,100.0,5,3550,4,1,src/app/LongLabApp.jsx,src/research/longEvidenceSemantics.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
entryResearchComponentErrors,RETAIN,,100.0,1,3500,1,2,src/research/buildLongEntryResearchSnapshot.js,src/research/buildLongEntryResearchSnapshot.js,src/export/longTradeExportSchema.js
cvdContradictsLongAtEntry,RETAIN,,100.0,2,3461,1,1,src/app/LongLabApp.jsx,src/research/longEvidenceSemantics.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
profitLockActivatedAt,RETAIN,,47.0,36,3423,1,3,src/lifecycle/profitLockStrategy.js,src/app/LongLabApp.jsx | src/lifecycle/profitLockStrategy.js,src/export/longTradeExportSchema.js
longFilterConflictingFields,RETAIN,,100.0,1,3400,2,3,src/research/buildLongEntryResearchSnapshot.js,src/research/buildLongEntryResearchSnapshot.js | src/research/normalizeLongEntryFacts.js,src/export/longTradeExportSchema.js
rsiLongMomentumExpansion,RETAIN,,100.0,2,3388,8,5,src/audits/bestDnaLongAuditV2.js | src/combos/longComboRegistry.js | src/longGate/longGateAudit.js | src/research/buildLongEntryResearchSnapshot.js | src/research/normalizeLongEntryFacts.js,src/longGate/longGateAudit.js | src/research/buildLongEntryResearchSnapshot.js | src/research/longWinningSignals.js | src/research/normalizeLongEntryFacts.js,src/export/longTradeExportSchema.js | src/filters/longFilterRegistry.js | src/migrations/migrateLongTradeRecord.js
profitLockExitBelowFloor,RETAIN,,100.0,2,3368,1,2,src/filters/FiltersTab.jsx,src/app/LongLabApp.jsx,src/export/longTradeExportSchema.js | src/filters/longFilterRegistry.js
finalPriceSource,RETAIN,,100.0,4,3356,2,11,src/app/LongLabApp.jsx | src/lifecycle/tradeFinalization.js,src/app/LongLabApp.jsx | src/lifecycle/tradeFinalization.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
profitLockStrategyActive,RETAIN,,100.0,2,3353,5,4,src/app/LongLabApp.jsx | src/lifecycle/profitLockProtection.js,src/lifecycle/profitLockProtection.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
absoluteEntryRequiredScore,RETAIN,,100.0,2,3300,8,4,src/entryPolicy/entryPolicy.flatten.js | src/entryPolicy/entryPolicy.js | src/entryPolicy/evaluateEntryPolicyLogOnly.js | src/research/buildLongEntryResearchSnapshot.js,src/entryPolicy/adaptiveAes.js | src/entryPolicy/entryPolicy.flatten.js,src/entryPolicy/entryPolicy.flatten.js | src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
entryPolicyMode,RETAIN,,100.0,1,3300,5,7,src/components/MarketRegimeDetails.jsx | src/components/MarketRegimeHeader.jsx | src/entryPolicy/entryPolicy.flatten.js | src/entryPolicy/entryPolicyLogOnly.flatten.js,src/entryPolicy/entryPolicy.flatten.js | src/entryPolicy/entryPolicy.js | src/entryPolicy/entryPolicyLogOnly.flatten.js | src/entryPolicy/evaluateEntryPolicyLogOnly.js | src/safety/assertLongResearchOnly.js,src/entryPolicy/entryPolicy.flatten.js | src/entryPolicy/entryPolicyLogOnly.flatten.js | src/export/longTradeExportSchema.js
strategyResearchEligible,RETAIN,,100.0,1,3300,4,4,src/app/LongLabApp.jsx | src/export/longBatchExport.js,src/app/LongLabApp.jsx | src/migrations/migrateLongTradeRecord.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
longMicroUpConfirmation,RETAIN,,100.0,2,3290,14,3,src/audits/bestDnaLongAuditV2.js | src/combos/longComboRegistry.js | src/fees/profitLockTelemetry.js | src/longGate/longGateAudit.js | src/research/buildLongEntryResearchSnapshot.js | src/research/longEvidenceSemantics.js,src/longGate/longGateAudit.js | src/research/buildLongEntryResearchSnapshot.js | src/research/longWinningSignals.js,src/export/longTradeExportSchema.js | src/filters/longFilterRegistry.js | src/migrations/migrateLongTradeRecord.js
absoluteEntryAdaptiveScore,RETAIN,,100.0,44,3263,9,4,src/entryPolicy/entryPolicy.flatten.js | src/entryPolicy/entryPolicy.js | src/entryPolicy/evaluateEntryPolicyLogOnly.js | src/entryPolicy/sniperShortGateLogOnly.js | src/longGate/sniperLongGateLogOnly.js | src/scoring/executionRankScoreLogOnly.js,src/entryPolicy/adaptiveAes.js | src/entryPolicy/entryPolicy.flatten.js,src/entryPolicy/entryPolicy.flatten.js | src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
feeAdjustedNormPnlPct,RETAIN,,100.0,100,3239,18,15,src/app/LongLabApp.jsx | src/audits/bestDnaAudit.js | src/export/runOutcomeRanking.js | src/fees/feeExport.js | src/fees/feeSelectors.js | src/filters/FiltersTab.jsx | src/sessionHealth/sessionHealth.metrics.js | src/telemetry/feeTelemetry.js,src/app/LongLabApp.jsx | src/audits/bestDnaAudit.js | src/domain/longTradeMath.js | src/export/longBestDnaExport.js | src/fees/feeAccounting.js | src/fees/feeExport.js | src/fees/feeMigration.js | src/telemetry/feeTelemetry.js,src/audits/bestDnaAudit.js | src/export/longBatchExport.js | src/export/longTradeExportSchema.js | src/filters/FiltersTab.jsx | src/filters/longCompareMode.js | src/filters/longFilterEngine.js | src/filters/longFilterRegistry.js | src/filters/longHighlightEngine.js
longAesEligibility,RETAIN,,100.0,3,3223,4,3,src/research/buildLongShadowDecision.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.scorer.js,src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.scorer.js,src/export/longTradeExportSchema.js | src/filters/longFilterRegistry.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.scorer.js
finalizationFailureCode,RETAIN,,0.0,1,3200,3,6,src/app/LongLabApp.jsx | src/migrations/migrateLongTradeRecord.js,src/app/LongLabApp.jsx | src/lifecycle/tradeFinalization.js | src/migrations/migrateLongTradeRecord.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
priceIntegrityStatus,RETAIN,,100.0,1,3200,1,2,src/app/LongLabApp.jsx,src/app/LongLabApp.jsx | src/migrations/migrateLongTradeRecord.js,src/export/longTradeExportSchema.js
cvdSupportsLongAtEntry,RETAIN,,100.0,2,3186,1,1,src/app/LongLabApp.jsx,src/research/longEvidenceSemantics.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
longCombosAntiMatched,RETAIN,,100.0,3,3134,3,1,src/audits/bestDnaLongAuditV2.js | src/research/longEvidenceSemantics.js,src/combos/longComboRegistry.js,src/export/longBatchExport.js | src/export/longTradeExportSchema.js | src/filters/longFilterAnalytics.js | src/filters/longFilterRegistry.js | src/migrations/migrateLongTradeRecord.js
grossLeveragedPnlPct,RETAIN,,100.0,100,3125,1,2,src/export/longTradeExportSchema.js,src/domain/longTradeMath.js,src/export/longTradeExportSchema.js
longGateTier,RETAIN,,100.0,4,3118,6,3,src/audits/bestDnaLongAuditV2.js | src/combos/longComboRegistry.js | src/migrations/migrateLongTradeRecord.js | src/research/buildLongEntryResearchSnapshot.js,src/longGate/longGateAudit.js | src/migrations/migrateLongTradeRecord.js | src/research/buildLongEntryResearchSnapshot.js,src/export/longTradeExport.js | src/export/longTradeExportSchema.js | src/filters/longFilterAnalytics.js | src/filters/longFilterRegistry.js | src/migrations/migrateLongTradeRecord.js
bucketAuditMissingInputs,RETAIN,,100.0,1,3100,1,3,src/research/buildLongEntryResearchSnapshot.js,src/longAudits/topGainerContinuationAudit.js | src/longAudits/topLoserReversalAudit.js | src/research/buildLongEntryResearchSnapshot.js,src/export/longTradeExportSchema.js
isPostFee10PlusWinner,RETAIN,,100.0,2,3098,2,4,src/audits/bestDnaAudit.js | src/export/longBestDnaExport.js,src/audits/bestDnaAudit.js | src/export/longBestDnaExport.js,src/audits/bestDnaAudit.js | src/export/longBestDnaExport.js | src/export/longTradeExportSchema.js | src/filters/longFilterRegistry.js
